0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:41 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:44 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:26:44 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:54 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:54 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:28:55 +0900] "GET /HomeWork/img/ok.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:01 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:01 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:02 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:02 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:02 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:02 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:03 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [25/May/2019:08:29:06 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/Harryfirstpage.jsp HTTP/1.1" 200 1856
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/HarryfirstStyle.css HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/topStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/img/harry.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/img/question.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/img/muggle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/May/2019:08:31:20 +0900] "GET /HomeWork/img/wizard.png HTTP/1.1" 304 -
